"Province","variant","date.start","date.end","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr"
"Gauteng","wt",2020-03-15,2020-10-25,32.8251120834881,31.1488736741786,23.8431520675145,40.4766813886697,15.4230235714729,57.5854747018113
"Gauteng","beta",2020-11-01,2021-05-09,21.8739152426828,20.158693542687,16.4081894349385,25.5373065090402,12.164536629151,41.1324823329885
"Gauteng","delta",2021-05-16,2021-08-29,49.8249629048029,46.9431657297597,36.670402234751,60.0405863446637,25.2192019116906,90.7937078572777
"Gauteng","omicron",2021-09-05,2022-02-27,44.4930729369896,43.9575579523783,31.2693275628392,56.3613531713368,19.0143521076549,75.2950588616269
"KwaZulu-Natal","wt",2020-03-15,2020-09-13,24.0632884624336,21.3581550344068,15.1341560449108,30.6617752934194,9.44625375785279,51.9087618141308
"KwaZulu-Natal","beta",2020-09-20,2021-05-09,26.3638110869094,24.2697905651461,19.4580919243796,31.1202028798617,14.2809500504879,50.1825454234722
"KwaZulu-Natal","delta",2021-05-16,2021-09-26,27.1489655140705,23.8977213336382,17.799812325455,33.6908865294565,12.5238074063081,57.3932501361615
"KwaZulu-Natal","omicron",2021-10-03,2022-02-27,38.1079895976043,36.6182996357634,26.4578890651001,48.4613510449252,15.8738704428765,67.5582261641539
"Western Cape","wt",2020-03-15,2020-09-13,28.43834663774,26.5570060599896,21.2005883397845,33.6113435046935,14.6134321664798,53.170757156005
"Western Cape","beta",2020-09-20,2021-05-09,37.0896629970078,34.6737979354675,28.2560017013576,43.7314111069554,20.606604361097,66.042437182438
"Western Cape","delta",2021-05-16,2021-09-26,47.2872296785521,44.1066099217443,35.1414033379024,56.1865639480078,24.6763463477162,87.1011885117504
"Western Cape","omicron",2021-10-03,2022-02-27,44.0978596988785,42.8959395476599,32.2197394027605,54.3943547481463,20.0231543887841,75.3978239549729
"Eastern Cape","wt",2020-03-15,2020-08-09,32.8529424831816,30.6319726392527,21.6349950735039,42.0015265366944,13.2714159732246,62.9497494322048
"Eastern Cape","beta",2020-08-16,2021-04-25,27.4370205402551,25.5991234976681,20.5872229441384,32.478216510593,14.8603774036578,49.950018340155
"Eastern Cape","delta",2021-05-02,2021-10-10,25.5941967739555,22.5578685856245,17.2182417919231,31.0572440914805,12.3959263216863,54.3429397486719
"Eastern Cape","omicron",2021-10-17,2022-02-27,26.3837054252002,23.3105005054753,16.1315288695577,35.0488215701345,9.5923569067237,54.6941264649975
"Limpopo","wt",2020-03-15,2020-10-25,13.7775350819921,10.6963833569394,7.3557535579232,17.6949215204175,4.54819200907441,37.2063950720876
"Limpopo","beta",2020-11-01,2021-05-09,17.1243495239329,14.4134875038399,10.9723636717419,20.4752095322963,7.8222423442382,41.4084747764404
"Limpopo","delta",2021-05-16,2021-09-26,28.2216253284664,24.7764116338363,16.9724070715438,36.4542689380503,10.3277638380327,62.7441749180035
"Limpopo","omicron",2021-10-03,2022-02-27,18.6220553971472,15.3983027775127,11.0131126714593,23.6092951684914,7.15265261574165,45.0098851473087
"Mpumalanga","wt",2020-03-15,2020-10-25,18.994377628273,15.7306387618203,11.2249612960444,24.2082494645801,7.13909165655784,45.8303227380239
"Mpumalanga","beta",2020-11-01,2021-05-09,17.3267843604682,15.0947568935062,11.7363484220228,20.5924057658038,8.69639215183816,38.2097304436695
"Mpumalanga","delta",2021-05-16,2021-09-26,27.1843018960956,23.8190631116598,17.7100033103957,33.5760755478548,11.9746444704895,60.1449858920123
"Mpumalanga","omicron",2021-10-03,2022-02-27,27.6684327134952,24.7727123935229,18.0953361215745,35.1394113992186,11.9614092552402,56.1306540761213
"North West","wt",2020-03-15,2020-10-25,24.5689328342925,21.9189229387406,16.3516472925178,30.5962688036547,10.5080945977915,51.089956225916
"North West","beta",2020-11-01,2021-05-09,16.0449559012918,14.2752056259361,11.3432347976273,18.8902108228889,8.33984741320198,33.4925484540397
"North West","delta",2021-05-16,2021-09-26,37.2116599959215,34.5169808168409,26.2806476127342,45.5616759528774,18.1303330330376,70.0228085633411
"North West","omicron",2021-10-03,2022-02-27,26.1722907367291,23.0797414765435,17.0211158888601,33.0858922815938,11.3259021619114,54.7077335976015
"Free State","wt",2020-03-15,2020-10-25,39.305100084474,37.5105638868685,29.0242044952342,47.791024097401,18.5425637168921,69.5692047448546
"Free State","beta",2020-11-01,2021-05-30,24.2252191808457,22.6424272375127,18.4468054598691,28.2891612846351,13.5425812893425,43.9170856610407
"Free State","delta",2021-06-06,2021-09-26,30.8470847103607,27.6643240862888,21.3521686700078,37.1747052661665,15.162413884152,63.3811437631333
"Free State","omicron",2021-10-03,2022-02-27,32.7917963373431,30.0310820048203,22.5285882837693,41.1711462140188,14.7560174978073,62.3215828547535
"Northern Cape","wt",2020-03-15,2020-10-25,34.9215667657467,32.7780280532127,25.12225015872,42.8129917973535,16.7695230570734,63.1332103048199
"Northern Cape","beta",2020-11-01,2021-05-09,26.9809248682915,25.3660811941894,20.9708753081738,31.401743553894,15.3009858642469,47.08825349947
"Northern Cape","delta",2021-05-16,2021-09-26,55.5861738895559,52.604119212573,42.3857971254248,65.3832851642992,30.1809663312729,99.3197872217617
"Northern Cape","omicron",2021-10-03,2022-02-27,36.8705198941448,34.0214831015653,25.2456330626321,46.4664627222311,16.6480905528689,69.3420965906723
