"Province","variant","date.start","date.end","case.rate","death.rate","raw.cfr","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","idr.mean.perc","idr.median.perc","idr.iqr.upr.perc","idr.iqr.lwr.perc","idr.ci95.upr.perc","idr.ci95.lwr.perc","ifr.mean.perc","ifr.median.perc","ifr.iqr.upr.perc","ifr.iqr.lwr.perc","ifr.ci95.upr.perc","ifr.ci95.lwr.perc","idr","ifr"
"Gauteng","Ancestral wave",2020-03-15,2020-10-25,1.50723027599619,0.0311080932109437,2.06392438543493,32.8251120834881,31.1488736741786,23.8431520675145,40.4766813886697,15.4230235714729,57.5854747018113,4.59169879500388,4.83879543049301,6.32143884218122,3.72370022513284,9.7725991859601,2.61737926760337,0.0947691911358068,0.0998690788512563,0.130469717774134,0.076854356987012,0.201699057689846,0.0540207289633842,"4.59 (2.62, 9.77)","0.09 (0.05, 0.2)"
"Gauteng","Beta wave",2020-11-01,2021-05-09,1.3512219695225,0.0404846694954539,2.99615240194477,21.8739152426828,20.158693542687,16.4081894349385,25.5373065090402,12.164536629151,41.1324823329885,6.17732104440932,6.70292430737749,8.23504613278843,5.29116870271409,11.1078786699071,3.28504844075218,0.18508195284791,0.20082982763603,0.2467345325088,0.158531478177318,0.332808973573533,0.0984250577626455,"6.18 (3.29, 11.11)","0.19 (0.1, 0.33)"
"Gauteng","Delta wave",2021-05-16,2021-08-29,3.12573408938981,0.0527210027072146,1.68667587195514,49.8249629048029,46.9431657297597,36.670402234751,60.0405863446637,25.2192019116906,90.7937078572777,6.27342983749316,6.65854984596457,8.5238609311672,5.20603524996657,12.3942625160586,3.4426769906823,0.105812427413032,0.112308153673991,0.143769905685008,0.0878089404466657,0.209051035365141,0.0580668021511897,"6.27 (3.44, 12.39)","0.11 (0.06, 0.21)"
"Gauteng","Omicron (BA.1) wave",2021-09-05,2022-02-27,1.84882065889969,0.0113204202788395,0.612304942848094,44.4930729369896,43.9575579523783,31.2693275628392,56.3613531713368,19.0143521076549,75.2950588616269,4.15529999808725,4.20592213266856,5.91256929073475,3.28029856430049,9.72329032528739,2.4554342434307,0.025443107278455,0.0257530691106716,0.0362029540164874,0.0200854302493869,0.0595361872692052,0.0150347452409109,"4.16 (2.46, 9.72)","0.03 (0.02, 0.06)"
"KwaZulu-Natal","Ancestral wave",2020-03-15,2020-09-13,1.04134205373225,0.0224110260122033,2.15212916177546,24.0632884624336,21.3581550344068,15.1341560449108,30.6617752934194,9.44625375785279,51.9087618141308,4.3275134874352,4.8756180112688,6.88074082652548,3.39622231187554,11.023862797107,2.00610073779254,0.0931336797428592,0.104929597037293,0.148082429873845,0.0730910907725983,0.237247766010655,0.043173878992626,"4.33 (2.01, 11.02)","0.09 (0.04, 0.24)"
"KwaZulu-Natal","Beta wave",2020-09-20,2021-05-09,1.95192064264547,0.0701916877947426,3.59603183967616,26.3638110869094,24.2697905651461,19.4580919243796,31.1202028798617,14.2809500504879,50.1825454234722,7.40378785226038,8.04259368207581,10.0314082708174,6.27219767872589,13.6680027291237,3.88964056361415,0.266242568509359,0.289214229543229,0.360732635386502,0.225550225574412,0.491505729987093,0.139872713116524,"7.4 (3.89, 13.67)","0.27 (0.14, 0.49)"
"KwaZulu-Natal","Delta wave",2021-05-16,2021-09-26,1.54528896316318,0.0368940408461766,2.38751726865732,27.1489655140705,23.8977213336382,17.799812325455,33.6908865294565,12.5238074063081,57.3932501361615,5.69188893168804,6.46626070155085,8.68149020286752,4.58666756011929,12.3388112977914,2.6924576661839,0.135894831156846,0.154383090885928,0.207272077770255,0.109507480053751,0.29459125048181,0.0642828917314284,"5.69 (2.69, 12.34)","0.14 (0.06, 0.29)"
"KwaZulu-Natal","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.24008506703945,0.012330493363236,0.994326412838232,38.1079895976043,36.6182996357634,26.4578890651001,48.4613510449252,15.8738704428765,67.5582261641539,3.25413405465349,3.38651734071321,4.68701438723324,2.55891559005413,7.81211533445485,1.83557967319372,0.0323567144145834,0.0336730363940584,0.0466042220257881,0.0254439735941435,0.0776779261718704,0.0182516535192549,"3.25 (1.84, 7.81)","0.03 (0.02, 0.08)"
"Western Cape","Ancestral wave",2020-03-15,2020-09-13,1.59767174653491,0.0600502142521513,3.75860776047335,28.43834663774,26.5570060599896,21.2005883397845,33.6113435046935,14.6134321664798,53.170757156005,5.61801910247016,6.01600851739814,7.53597834611393,4.75337067770532,10.9328987765081,3.00479404844149,0.211159301970318,0.226118163005664,0.283247866944629,0.178660559176297,0.410924781858529,0.112938422290963,"5.62 (3, 10.93)","0.21 (0.11, 0.41)"
"Western Cape","Beta wave",2020-09-20,2021-05-09,2.63304848200072,0.110968704925812,4.21445733659614,37.0896629970078,34.6737979354675,28.2560017013576,43.7314111069554,20.606604361097,66.042437182438,7.09914372156236,7.59377004763414,9.31854587860606,6.02095476764054,12.7776922187705,3.98690386717118,0.299190383408889,0.320036198896757,0.39272614044499,0.253750569937962,0.538510387161648,0.168026362533031,"7.1 (3.99, 12.78)","0.3 (0.17, 0.54)"
"Western Cape","Delta wave",2021-05-16,2021-09-26,3.22791087204015,0.118434802123586,3.66908526345807,47.2872296785521,44.1066099217443,35.1414033379024,56.1865639480078,24.6763463477162,87.1011885117504,6.82617885205533,7.31842886534975,9.18549222693856,5.74498713789848,13.0809919205843,3.70593206268901,0.250458322318053,0.268519395015209,0.337023541674689,0.210788476464195,0.479952746872299,0.13597380718589,"6.83 (3.71, 13.08)","0.25 (0.14, 0.48)"
"Western Cape","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.87670967316596,0.0279357687713171,1.48855036933817,44.0978596988785,42.8959395476599,32.2197394027605,54.3943547481463,20.0231543887841,75.3978239549729,4.25578403573562,4.37502871590172,5.8247202117506,3.45019199484101,9.37269741183835,2.48907670636055,0.0633494889821774,0.065124506109206,0.0867038942249286,0.0513578456820818,0.139517321940869,0.0370511605056403,"4.26 (2.49, 9.37)","0.06 (0.04, 0.14)"
"Eastern Cape","Ancestral wave",2020-03-15,2020-08-09,1.24653694216388,0.0364555927080472,2.92454972451626,32.8529424831816,30.6319726392527,21.6349950735039,42.0015265366944,13.2714159732246,62.9497494322048,3.79429313767563,4.06939819659715,5.76166963721891,2.96783723104647,9.39264464830881,1.98020953761916,0.110965989505232,0.119011573748051,0.168502893502823,0.0867958755646606,0.274692563186906,0.0579122125772858,"3.79 (1.98, 9.39)","0.11 (0.06, 0.27)"
"Eastern Cape","Beta wave",2020-08-16,2021-04-25,1.67487153388806,0.135870455863257,8.11229118855739,27.4370205402551,25.5991234976681,20.5872229441384,32.478216510593,14.8603774036578,49.950018340155,6.10442205789334,6.54269094033875,8.13549033996802,5.15690734847398,11.2707200388854,3.35309493278328,0.495208492714835,0.530762140647643,0.659974665995164,0.418343340432323,0.914313628601474,0.272012824776143,"6.1 (3.35, 11.27)","0.5 (0.27, 0.91)"
"Eastern Cape","Delta wave",2021-05-02,2021-10-10,1.42787632689717,0.0520538785949803,3.64554531890696,25.5941967739555,22.5578685856245,17.2182417919231,31.0572440914805,12.3959263216863,54.3429397486719,5.57890657600228,6.32983706540037,8.2928114505104,4.59756288320783,11.5189158909338,2.62752867897998,0.203381567527644,0.230757078832141,0.302318199639862,0.167606238472587,0.419927299050766,0.0957877487594926,"5.58 (2.63, 11.52)","0.2 (0.1, 0.42)"
"Eastern Cape","Omicron (BA.1) wave",2021-10-17,2022-02-27,0.766709735982008,0.0214383317968451,2.79614706723225,26.3837054252002,23.3105005054753,16.1315288695577,35.0488215701345,9.5923569067237,54.6941264649975,2.90599718131211,3.28911743358715,4.75286466758206,2.18754783081018,7.99292336010337,1.40181365995977,0.0812559549591105,0.0919685606570718,0.132897086012114,0.0611670545155017,0.223493892119652,0.0391967715410263,"2.91 (1.4, 7.99)","0.08 (0.04, 0.22)"
"Limpopo","Ancestral wave",2020-03-15,2020-10-25,0.293903102739552,0.00765555485723226,2.60478871637377,13.7775350819921,10.6963833569394,7.3557535579232,17.6949215204175,4.54819200907441,37.2063950720876,2.13320525762041,2.74768669869035,3.99555396228543,1.66094606523362,6.46197658659014,0.78992630748051,0.0555654898475885,0.0715714330887891,0.104075738766236,0.0432641356922595,0.168320836982215,0.0205759113249203,"2.13 (0.79, 6.46)","0.06 (0.02, 0.17)"
